Original_Word,translated_words
addpoweradd,এডপাওয়ারেড 
Addrita's,আদ্রিতাস 
ADDTEXOD,এডটেক্সদ 
addyli,এড্যলি 
Ade,আদে 
Ade Advanced Optics®,আদে অ্যাডভান্সেড 
Ade Advanced OpticsÂ®,আদে অ্যাডভান্সেড 
ADEA,আদেয়া 
ADEC,আদেক 
Adeco,আদেক 
Adee Phelan,আদী ফেলান 
Adee prokashon,আদী প্রকাশন 
Adeeba,আদীবা 
ADEEL IT,আদীল আইটি 
ADEENA ENTERPRISE,আদীনা এন্টারপ্রাইস 
adeenabiz,আদীনাবিয 
Adela Skin Care,আদেলা স্কিন কেয়ার 
ADELE,আদেলে 
ADELE FABER & ELAINE MAZLISH,আদেলে ফাবের এন্ড এলাইনে মাযলিশ 
ADELEA & FRIENDS,আদেলেয়া এন্ড ফ্রেন্ডস 
Adeline,আদেলিনে 
Adella,আদেল্লা 
Aden + Anais,আদেন + আনাইস 
ADEN+ANAIS,
Adenanais,আদেনানাইস 
ADENGCHI,আদেঞ্ছি 
adeo,আদেও 
Adeqsue,আদেকসু 
Aderma,এডারমা 
Adex,আদেক্স 
Adex Engineering Ltd,আদেক্স ইঞ্জিনিয়ারিং লিমিটেড 
ADEX OSRAM LEDVANCE,আদেক্স অস্রাম লেদ্ভান্সে 
Adfilic,আদফিলিক 
Adfit,আদফিট 
ADFweb.com,আদফ্বেব কম 
adgar,আদ্গার 
AdGuard,আদ্গুয়ারদ 
Adhafera,আধাফেরা 
Adhara,আধারা 
Adhesive Screw,অ্যাডহেসিভ সচ্রেও 
ADHIRA TRADING,আধিরা ট্রেডিং 
Adhora Fashion,আধরা ফ্যাশন 
Adhora Madhuri's Boutique,আধরা madhuri's বউটিকুএ 
Adhunic Fashion,আধুনিক ফ্যাশন 
ADHUNIK ASBAB KENDRO,আধুনিক আসবাব কেন্দ্র 
Adhunik Boi Publication,আধুনিক বই পাবলিশার্স 
Adhunik Fashion,আধুনিক ফ্যাশন 
ADHUNIK FASHION BRAND,আধুনিক ফ্যাশন ব্রান্ড 
Adhunik Herbal Center,আধুনিক হেরবাল সেন্টার 
Adhunik Online Shop,আধুনিক অনলাইন শপ 
Adhunik Ponno,আধুনিক পণ্য 
Adhunik Prokashoni,আধুনিক প্রকাশনী 
Adhunik Prokasoni,আধুনিক প্রকাসনি 
Adhunik Sharee,আধুনিক শারী 
Adhunika Garments,আধুনিকা গার্মেন্টস 
Adhyasa,আধ্যাসা 
ADI BANGLA,আদি বাংলা 
ADI BEAUTY CARE,আদি বিউটি কেয়ার 
ADI Collection,আদি কালেকশন 
ADI COSMETICS WORLD,আদি কসমেটিক্স ওয়ার্ল্ড 
Adi das,আদি দাস 
ADI FASHION,আদি ফ্যাশন 
Adi Mullick Brothers,আদি মুল্লিক্ক ব্রাদার্স 
Adi Paint,আদি পেইন্ট 
Adi Pearl Beauty,আদি পার্ল বিউটি 
Adi Prokashoni,আদি প্রকাশনী 
Adi Publications,আদি পুব্লিকাশন্স 
ADI Shopping House,আদি শপিং হাউস 
ADI TRADE,আদি ট্রেড 
ADIA SURGICAL,আদিয়া সুরগিকাল 
Adib Belt Corner,আদিব বেল্ট কর্নার 
ADIB ENTERPRISE,আদিব এন্টারপ্রাইস 
Adib Store,আদিব স্টোর 
ADIB TRADING,আদিব ট্রেডিং 
Adiba BD,আদিবা বিডি 
Adiba Beding Store,আদিবা বেদিং স্টোর 
Adiba Collection's,আদিবা collection's 
ADIBA COMPUTER,আদিবা কম্পিউটার 
Adiba Corner,আদিবা কর্নার 
Adiba Corporation,আদিবা কর্পোরেশন 
Adiba Ehsan Store,আদিবা এহসান স্টোর 
Adiba Fashion Gallery,আদিবা ফ্যাশন গ্যালারি 
Adiba Fashion House,আদিবা ফ্যাশন হাউস 
Adiba Mart,আদিবা মার্ট 
Adiba shop,আদিবা শপ 
Adiba shopping,আদিবা শপিং 
Adiba Telecom,আদিবা টেলিকম 
ADIBANGLA,আদিবাংলা 
Adibatoiyeba Bostraloy,আদিবাতইয়েবা বস্ত্রালয় 
Adib's,adib's 
ADIC,আদিচ 
adida,আদিদা 
adidais,আদিদাইস 
ADIDAS 1:1,আডিডাস 1:1 
Adidas 5A,আডিডাস ৫আ 
Adidas Aeroswift,আডিডাস আএরস্বিফত 
Adidas Bags,আডিডাস বাগস 
Adidas Cloudfoam,আডিডাস চলউদফয়াম 
Adidas Copy,আডিডাস কপি 
Adidas Field Hockey,আডিডাস ফিল্ড হকি 
adidas football,আডিডাস ফুটবল 
adidas golf,আডিডাস গলফ 
Adidas Hockey,আডিডাস হকি 
Adidas Neo,আডিডাস নেও 
Adidas Originals,আডিডাস অরিগিনালস 
Adidas Perfomance,আডিডাস পেরফমান্সে 
Adidas Pharrell Williams,আডিডাস ফাররেল্ল ওয়িল্লিয়ামস 
Adidas UltraBOOST,আডিডাস উলত্রাবুস্ত 
ADIDAS WOMEN,আডিডাস উইমেন 
Adidas World,আডিডাস ওয়ার্ল্ড 
ADIDAS YEEZY,আডিডাস ইয়ীয্য 
Adidas/Nike,adidas/nike 
Adidas_Authentic,adidas_authentic 
Adidas_Bag,adidas_bag 
Adidas_Original,adidas_original 
Adidas_Sneakers,adidas_sneakers 
ADIDAS_UltraBOOST4.0,adidas_ultraboost4 ০ 
Adidass,আডিডাস 
Adidasss,আদিদাসস 
Adidas,
Adidog,আদিদগ 
ADIEU AGE,আদিএউ এজ  
ADIGA ARAVIND (2008),আদিগা আরাভিন্দ (2008) 
Adige,আদিগে 
Adigo,আদিগ 
Adigonto,আদিগন্ত 
Adigonto Publication,আদিগন্ত পাবলিশার্স 
Adik Comei,আদিক কমেই 
Adil Computer,আদিল কম্পিউটার 
Adil Fashion,আদিল ফ্যাশন 
ADIL STORE,আদিল স্টোর 
Adil Trade,আদিল ট্রেড 
Adil Unique Collection,আদিল ইউনিক কালেকশন 
Adila,আদিলা 
adilanwer,আদিলান্বের 
Adilbd,আদিল্বদ 
Adillaz Skin Therapy,আদিল্লায স্কিন থেরাপি 
Adils Collection,আদিলস কালেকশন 
Adina_,adina_ 
Adinath,আদিনাথ 
Adinda HERBS,আদিন্দা হেরবস 
Adinda's Scarf,adinda's স্কারফ 
ADINE,আদিনে 
Adior,আদিওর 
Adios,আদিওস 
Adipin,আদিপিন 
AdiPutera,আদিপুটারা 
Adira Enterprise,আদিরা এন্টারপ্রাইস 
ADISH,আদিশ 
Adishaj,আদিসাজ 
AdishajBD,আদিসাজব্দ 
Aditi,অদিতি 
Aditya,আদিত্য 
Aditya Anik Prokashani,আদিত্য অনিক প্রকাশানি 
Aditya Anik Prokashoni,আদিত্য অনিক প্রকাশনী 
ADITYA MULTIMEDIA,আদিত্য মাল্টিমিডিয়া 
Adiva,আডিভা 
Adiva Fakhira,আডিভা ফাখিরা 
Adiya,আদিয়া 
ADIYAT,আদিয়াত 
ADJ,আদজ 
Adjemz,আদজেময 
Adjou Origins,আদজউ অরিগিন্স 
Adkel,আদকেল 
ADL Lumin,আদল লুমিন 
Adleesya,আদলীস্যা 
Adler Uniform,আদলের উনিফরম 
Adlina Anis,আদলিনা আনিস 
adlyn beautycare,আদলিন বেয়াউটিকারে 
Admin001,আদমিন০০১ 
ADMINEST,আদমিনেস্ত 
Admira,আদমিরা 
Admirai,আদমিরাই 
Admiral Asia,অ্যাডমিরাল এশিয়া 
AdmireS,আদমিরেস 
AdMiREVVAA,আদমিরেভভাআ 
Adn Beauty And Health,আদন বিউটি অ্যান্ড হেল্‌থ 
ADNA,আদনা 
ADNAN,আদনান 
ADNAN BD,আদনান বিডি 
Adnan Enterprise,আদনান এন্টারপ্রাইস 
Adnan Fashion,আদনান ফ্যাশন 
ADNAN MOLLAH,আদনান মল্লাহ 
Adnan Shoes,আদনান সুউস 
ADNAN SHOES SHOP,আদনান সুউস শপ 
Adnan Shop,আদনান শপ 
Adnan Shop bd,আদনান শপ বিডি 
AdnanEnterprise,adnanenterprise 
Ado Glo,আদ গ্ল 
Adobe Fashion,অ্যাডোব ফ্যাশন 
adolph,অ্যাদলফ 
adon,আদন 
ADONDEER,আদন্দীর 
ADONIS,আদনিস 
Adonis Beauty,আদনিস বিউটি 
Adonis Mens Grooming Salon,আদনিস মেন্স গ্রুমিং সালন 
Adonisa,আদনিসা 
ADOPT,আডপ্ট 
adopt',adopt' 
Ador Bostro Somver,আদর বস্ত্র সম্ভের 
ADOR TELECOM MOBILE SHOP,আদর টেলিকম মোবাইল শপ 
Ador4baby,আদর৪বেবি 
Adora,অ্যাডোরা 
adoraAHM,অ্যাডোরাআহ্ম 
Adorama,অ্যাডোরামা 
Adoratherapy,অ্যাডোরাথেরাপি 
AdoraWine,অ্যাডোরাওয়াইন 
AdorBD,আদরব্দ 
ADORE,আদরে 
Adore June,আদরে জুন 
AdoreFit,আদরেফিট 
Adoreswim,আদরেসুঈম 
Adori,আদরি 
Adorish,আদরিশ 
Adorish Gadget Shop,আদরিশ গ্যাজেট শপ 
Adorn,আদরন 
ADORN APPARELS,আদরন আপ্পারেলস 
Adorn Books For Children (ABC),আদরন বুকস ফর ছিলদ্রেন (এবিসি) 
Adorn Publication,আদরন পাবলিশার্স 
Adorne,আদরনে 
Adornica Herbs & Cosmetics Co.,আদরনিকা হেরবস এন্ড কসমেটিক্স কর্পোরেট 
Adornments,আদরন্মেন্টস 
AdorshoBD,আদরশব্দ 
ADOX,আদক্স 
ADP,আদপ 
AdPedia,আদপিডিয়া 
ADQAI,আদকাই 
ADR,আর্দ্র 
A-Dream,
adreena,আদ্রীনা 
Adrenaline Games USA,আদ্রেনালিনে গেমস উসা 
Adri Slime,আদ্রি স্লিমে 
Adrian,আদ্রিয়ান 
ADRIAN GOSTICK & CHESTOR ELTON,আদ্রিয়ান গস্টিচক এন্ড ছেস্তর এল্টন 
Adrian London,আদ্রিয়ান লন্ডন 
Adriana & Alya,আদ্রিয়ানা এন্ড আলিয়া 
Adriana LifeStyle,আদ্রিয়ানা লাইফস্টাইল 
ADRIANA QUEENZ GREEN COFFEE,আদ্রিয়ানা কুঈনয গ্রিন কফি 
ADRIANO MENEGHETTI ,আদ্রিয়ান মেনেঘেতটি 
Adriatica,আদ্রিয়াটিকা 
Adrien Arpel,আদ্রিএন আরপেল 
Adrien Lastic,আদ্রিএন লাস্টিচ 
Adrienne Vittadini,আদ্রিএন্নে ভিত্তাদিনি 
Adrienne Vittidini,আদ্রিএন্নে ভিতটিদিনি 
Adrika's,আদ্রিকাস 
Adrika's Attire,আদ্রিকাস আতটিরে 
Adrita Collection,আদৃতা কালেকশন 
Adrita Enterprise,আদৃতা এন্টারপ্রাইস 
ADRO,আর্দ্র 
ADS Fashion,আদস ফ্যাশন 
ADS LED,আদস লেদ 
ADS Tech,আদস টেক 
ADSHOP,অ্যাডশপ 
ADSports,অ্যাডস্পোর্টস 
ADTRAN NETVANTA INTERNETWORKING B K,অ্যাডট্রান নেটভান্তা internetworking বি কে 
Adulish,আদুলিশ 
Adult Body Art,অ্যাডাল্ট বডি আর্ট 
Aduna,আদুনা 
Aduro,আদুর 
Adury Enterprise,আদুরি এন্টারপ্রাইস 
ADV,আদ্ভ 
ADV PLUS,আদ্ভ প্লাস 
Adv Smart Tech,আদ্ভ স্মার্ট টেক 
ADVAITH ARTS,অ্যাডভাইথ আর্টস 
Advan,অ্যাডভান 
Advan Crazy - Penang,অ্যাডভান চ্রায্য - পেনাং 
Advan Crazy Pro - Penang,অ্যাডভান চ্রায্য প্রো - পেনাং 
Advan RZ,অ্যাডভান রয 
Advan TCIII,অ্যাডভান তচিইই 
Advance,অ্যাডভান্সে 
Advance Acoustic,অ্যাডভান্সে আচউস্টিচ 
Advance electro trading,অ্যাডভান্সে ইলেক্ট্রো ট্রেডিং 
Advance item,অ্যাডভান্সে আইটেম 
ADVANCE NUTRATECH,অ্যাডভান্সে নুত্রাটেক 
Advance PC,অ্যাডভান্সে পিসি 
Advance Personal Care Ltd.,অ্যাডভান্সে পার্সোনাল কেয়ার লিমিটেড 
Advance Pharma,অ্যাডভান্সে ফারমা 
Advance Ray,অ্যাডভান্সে রাই 
Advance Tabco,অ্যাডভান্সে তেবিসিও 
ADVANCE TECHNOLOGY DHAKA,অ্যাডভান্সে টেকনোলজি ঢাকা 
Advance Technology Solution,অ্যাডভান্সে টেকনোলজি সলিউশন 
Advance Time Technology,অ্যাডভান্সে টাইম টেকনোলজি 
ADVANCE Trading Co,অ্যাডভান্সে ট্রেডিং কর্পোরেট 
Advance Wonder's,অ্যাডভান্সে wonder's 
Advance World,অ্যাডভান্সে ওয়ার্ল্ড 
ADVANCED,অ্যাডভান্সেড 
Advanced Biotonics,অ্যাডভান্সেড বিওটনিচস 
Advanced Clinicals,অ্যাডভান্সেড চলিনিকালস 
ADVANCED COSMECEUTICAL,অ্যাডভান্সেড চস্মেচেউটিকাল 
ADVANCED ELEMENTS,অ্যাডভান্সেড এলেমেন্টস 
ADVANCED Sound,অ্যাডভান্সেড সাউন্ড 
Advanced Technology Video,অ্যাডভান্সেড টেকনোলজি ভিডিও 
Advanta,অ্যাডভান্তা 
Advantage Quest,অ্যাডভান্তেজ  কুএস্ত 
Advante,অ্যাডভান্তে 
Advantech,অ্যাডভান্টেক 
